DATABASE,,,LearnAndDiscover,,,
Lesson.Writing.glossary[3].picture,,,,presentation.slides.4.elements.0.action.params.dialogs.3.image.path,,
Lesson.Writing.glossary[3].mp3,,,,presentation.slides.4.elements.0.action.params.dialogs.3.audio.path,,
Lesson.Writing.glossary[4].term,,,,presentation.slides.4.elements.0.action.params.dialogs.4.answer,,
Lesson.Writing.glossary[4].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.4.elements.0.action.params.dialogs.4.text,,
Lesson.Writing.glossary[4].picture,,,,presentation.slides.4.elements.0.action.params.dialogs.4.image.path,,
Lesson.Writing.glossary[4].mp3,,,,presentation.slides.4.elements.0.action.params.dialogs.4.audio.path,,
Lesson.Writing.glossary[5].term,,,,presentation.slides.4.elements.0.action.params.dialogs.5.answer,,
Lesson.Writing.glossary[5].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.4.elements.0.action.params.dialogs.5.text,,
Lesson.Writing.glossary[5].picture,,,,presentation.slides.4.elements.0.action.params.dialogs.5.image.path,,
Lesson.Writing.glossary[5].mp3,,,,presentation.slides.4.elements.0.action.params.dialogs.5.audio.path,,
Lesson.Writing.glossary[6].term,,,,presentation.slides.4.elements.0.action.params.dialogs.6.answer,,
Lesson.Writing.glossary[6].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.4.elements.0.action.params.dialogs.6.text,,
Lesson.Writing.glossary[6].picture,,,,presentation.slides.4.elements.0.action.params.dialogs.6.image.path,,
Lesson.Writing.glossary[6].mp3,,,,presentation.slides.4.elements.0.action.params.dialogs.6.audio.path,,
Lesson.Writing.glossary[7].term,,,,presentation.slides.4.elements.0.action.params.dialogs.7.answer,,
Lesson.Writing.glossary[7].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.4.elements.0.action.params.dialogs.7.text,,
Lesson.Writing.glossary[7].picture,,,,presentation.slides.4.elements.0.action.params.dialogs.7.image.path,,
Lesson.Writing.glossary[7].mp3,,,,presentation.slides.4.elements.0.action.params.dialogs.7.audio.path,,
Lesson.Writing.glossary[8].term,,,,presentation.slides.4.elements.0.action.params.dialogs.8.answer,,
Lesson.Writing.glossary[8].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.4.elements.0.action.params.dialogs.8.text,,
Lesson.Writing.glossary[8].picture,,,,presentation.slides.4.elements.0.action.params.dialogs.8.image.path,,
Lesson.Writing.glossary[8].mp3,,,,presentation.slides.4.elements.0.action.params.dialogs.8.audio.path,,
Lesson.Writing.glossary[9].term,,,,presentation.slides.4.elements.0.action.params.dialogs.9.answer,,
Lesson.Writing.glossary[9].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.4.elements.0.action.params.dialogs.9.text,,
Lesson.Writing.glossary[9].picture,,,,presentation.slides.4.elements.0.action.params.dialogs.9.image.path,,
Lesson.Writing.glossary[9].mp3,,,,presentation.slides.4.elements.0.action.params.dialogs.9.audio.path,,
Lesson.Reading.can_do_statements[0].en[0],,Se debe retornar el texto entre el primer par de <li>,,presentation.slides.0.elements.6.action.params.text,,
Lesson.Reading.context.mp4,,,,presentation.slides.5.elements.0.action.params.sources.0.path,,videos/sources-5cd2f4260112d.MP4
Lesson.Reading.context.poster,,,,presentation.slides.5.elements.0.action.params.visuals.poster.path,,images/poster-5cdad3c48059f.png
Lesson.Reading.context.subtitles,,,,presentation.slides.5.elements.0.action.params.a11y.0.track.path,,files/track-5cd2f4364d8d5.vtt
Lesson.Reading.glossary[0].term,,,,presentation.slides.6.elements.0.action.params.dialogs.0.answer,,
Lesson.Reading.glossary[0].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.6.elements.0.action.params.dialogs.0.text,,
Lesson.Reading.glossary[0].picture,,,,presentation.slides.6.elements.0.action.params.dialogs.0.image.path,,
Lesson.Reading.glossary[0].mp3,,,,presentation.slides.6.elements.0.action.params.dialogs.0.audio.path,,
Lesson.Reading.glossary[1].term,,,,presentation.slides.6.elements.0.action.params.dialogs.1.answer,,
Lesson.Reading.glossary[1].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.6.elements.0.action.params.dialogs.1.text,,
Lesson.Reading.glossary[1].picture,,,,presentation.slides.6.elements.0.action.params.dialogs.1.image.path,,
Lesson.Reading.glossary[1].mp3,,,,presentation.slides.6.elements.0.action.params.dialogs.1.audio.path,,
Lesson.Reading.glossary[2].term,,,,presentation.slides.6.elements.0.action.params.dialogs.2.answer,,
Lesson.Reading.glossary[2].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.6.elements.0.action.params.dialogs.2.text,,
Lesson.Reading.glossary[2].picture,,,,presentation.slides.6.elements.0.action.params.dialogs.2.image.path,,
Lesson.Reading.glossary[2].mp3,,,,presentation.slides.6.elements.0.action.params.dialogs.2.audio.path,,
Lesson.Reading.glossary[3].term,,,,presentation.slides.6.elements.0.action.params.dialogs.3.answer,,
Lesson.Reading.glossary[3].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.6.elements.0.action.params.dialogs.3.text,,
Lesson.Reading.glossary[3].picture,,,,presentation.slides.6.elements.0.action.params.dialogs.3.image.path,,
Lesson.Reading.glossary[3].mp3,,,,presentation.slides.6.elements.0.action.params.dialogs.3.audio.path,,
Lesson.Reading.glossary[4].term,,,,presentation.slides.6.elements.0.action.params.dialogs.4.answer,,
Lesson.Reading.glossary[4].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.6.elements.0.action.params.dialogs.4.text,,
Lesson.Reading.glossary[4].picture,,,,presentation.slides.6.elements.0.action.params.dialogs.4.image.path,,
Lesson.Reading.glossary[4].mp3,,,,presentation.slides.6.elements.0.action.params.dialogs.4.audio.path,,
Lesson.Reading.glossary[5].term,,,,presentation.slides.6.elements.0.action.params.dialogs.5.answer,,
Lesson.Reading.glossary[5].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.6.elements.0.action.params.dialogs.5.text,,
Lesson.Reading.glossary[5].picture,,,,presentation.slides.6.elements.0.action.params.dialogs.5.image.path,,
Lesson.Reading.glossary[5].mp3,,,,presentation.slides.6.elements.0.action.params.dialogs.5.audio.path,,
Lesson.Reading.glossary[6].term,,,,presentation.slides.6.elements.0.action.params.dialogs.6.answer,,
Lesson.Reading.glossary[6].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.6.elements.0.action.params.dialogs.6.text,,
Lesson.Reading.glossary[6].picture,,,,presentation.slides.6.elements.0.action.params.dialogs.6.image.path,,
Lesson.Reading.glossary[6].mp3,,,,presentation.slides.6.elements.0.action.params.dialogs.6.audio.path,,
Lesson.Reading.glossary[7].term,,,,presentation.slides.6.elements.0.action.params.dialogs.7.answer,,
Lesson.Reading.glossary[7].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.6.elements.0.action.params.dialogs.7.text,,
Lesson.Reading.glossary[7].picture,,,,presentation.slides.6.elements.0.action.params.dialogs.7.image.path,,
Lesson.Reading.glossary[7].mp3,,,,presentation.slides.6.elements.0.action.params.dialogs.7.audio.path,,
Lesson.Reading.glossary[8].term,,,,presentation.slides.6.elements.0.action.params.dialogs.8.answer,,
Lesson.Reading.glossary[8].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.6.elements.0.action.params.dialogs.8.text,,
Lesson.Reading.glossary[8].picture,,,,presentation.slides.6.elements.0.action.params.dialogs.8.image.path,,
Lesson.Reading.glossary[8].mp3,,,,presentation.slides.6.elements.0.action.params.dialogs.8.audio.path,,
Lesson.Reading.glossary[9].term,,,,presentation.slides.6.elements.0.action.params.dialogs.9.answer,,
Lesson.Reading.glossary[9].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.6.elements.0.action.params.dialogs.9.text,,
Lesson.Reading.glossary[9].picture,,,,presentation.slides.6.elements.0.action.params.dialogs.9.image.path,,
Lesson.Reading.glossary[9].mp3,,,,presentation.slides.6.elements.0.action.params.dialogs.9.audio.path,,
Lesson.Monologue.can_do_statements[0].en[0],,Se debe retornar el texto entre el primer par de <li>,,presentation.slides.0.elements.7.action.params.text,,
Lesson.Monologue.context.mp4,,,,presentation.slides.7.elements.0.action.params.sources.0.path,,videos/sources-5cd2f44ae4f02.MP4
Lesson.Monologue.context.poster,,,,presentation.slides.7.elements.0.action.params.visuals.poster.path,,images/poster-5cdad42fb5e6d.png
Lesson.Monologue.context.subtitles,,,,presentation.slides.7.elements.0.action.params.a11y.0.track.path,,files/track-5cd2f458973f8.vtt
Lesson.Monologue.glossary[0].term,,,,presentation.slides.8.elements.0.action.params.dialogs.0.answer,,
Lesson.Monologue.glossary[0].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.8.elements.0.action.params.dialogs.0.text,,
Lesson.Monologue.glossary[0].picture,,,,presentation.slides.8.elements.0.action.params.dialogs.0.image.path,,
Lesson.Monologue.glossary[0].mp3,,,,presentation.slides.8.elements.0.action.params.dialogs.0.audio.path,,
Lesson.Monologue.glossary[1].term,,,,presentation.slides.8.elements.0.action.params.dialogs.1.answer,,
Lesson.Monologue.glossary[1].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.8.elements.0.action.params.dialogs.1.text,,
Lesson.Monologue.glossary[1].picture,,,,presentation.slides.8.elements.0.action.params.dialogs.1.image.path,,
Lesson.Monologue.glossary[1].mp3,,,,presentation.slides.8.elements.0.action.params.dialogs.1.audio.path,,
Lesson.Monologue.glossary[2].term,,,,presentation.slides.8.elements.0.action.params.dialogs.2.answer,,
Lesson.Monologue.glossary[2].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.8.elements.0.action.params.dialogs.2.text,,
Lesson.Monologue.glossary[2].picture,,,,presentation.slides.8.elements.0.action.params.dialogs.2.image.path,,
Lesson.Monologue.glossary[2].mp3,,,,presentation.slides.8.elements.0.action.params.dialogs.2.audio.path,,
Lesson.Monologue.glossary[3].term,,,,presentation.slides.8.elements.0.action.params.dialogs.3.answer,,
Lesson.Monologue.glossary[3].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.8.elements.0.action.params.dialogs.3.text,,
Lesson.Monologue.glossary[3].picture,,,,presentation.slides.8.elements.0.action.params.dialogs.3.image.path,,
Lesson.Monologue.glossary[3].mp3,,,,presentation.slides.8.elements.0.action.params.dialogs.3.audio.path,,
Lesson.Monologue.glossary[4].term,,,,presentation.slides.8.elements.0.action.params.dialogs.4.answer,,
Lesson.Monologue.glossary[4].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.8.elements.0.action.params.dialogs.4.text,,
Lesson.Monologue.glossary[4].picture,,,,presentation.slides.8.elements.0.action.params.dialogs.4.image.path,,
Lesson.Monologue.glossary[4].mp3,,,,presentation.slides.8.elements.0.action.params.dialogs.4.audio.path,,
Lesson.Monologue.glossary[5].term,,,,presentation.slides.8.elements.0.action.params.dialogs.5.answer,,
Lesson.Monologue.glossary[5].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.8.elements.0.action.params.dialogs.5.text,,
Lesson.Monologue.glossary[5].picture,,,,presentation.slides.8.elements.0.action.params.dialogs.5.image.path,,
Lesson.Monologue.glossary[5].mp3,,,,presentation.slides.8.elements.0.action.params.dialogs.5.audio.path,,
Lesson.Monologue.glossary[6].term,,,,presentation.slides.8.elements.0.action.params.dialogs.6.answer,,
Lesson.Monologue.glossary[6].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.8.elements.0.action.params.dialogs.6.text,,
Lesson.Monologue.glossary[6].picture,,,,presentation.slides.8.elements.0.action.params.dialogs.6.image.path,,
Lesson.Monologue.glossary[6].mp3,,,,presentation.slides.8.elements.0.action.params.dialogs.6.audio.path,,
Lesson.Monologue.glossary[7].term,,,,presentation.slides.8.elements.0.action.params.dialogs.7.answer,,
Lesson.Monologue.glossary[7].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.8.elements.0.action.params.dialogs.7.text,,
Lesson.Monologue.glossary[7].picture,,,,presentation.slides.8.elements.0.action.params.dialogs.7.image.path,,
Lesson.Monologue.glossary[7].mp3,,,,presentation.slides.8.elements.0.action.params.dialogs.7.audio.path,,
Lesson.Monologue.glossary[8].term,,,,presentation.slides.8.elements.0.action.params.dialogs.8.answer,,
Lesson.Monologue.glossary[8].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.8.elements.0.action.params.dialogs.8.text,,
Lesson.Monologue.glossary[8].picture,,,,presentation.slides.8.elements.0.action.params.dialogs.8.image.path,,
Lesson.Monologue.glossary[8].mp3,,,,presentation.slides.8.elements.0.action.params.dialogs.8.audio.path,,
Lesson.Monologue.glossary[9].term,,,,presentation.slides.8.elements.0.action.params.dialogs.9.answer,,
